Category,Keyword,,,,,,,,,,,,,,
CONTRL,SCFTYP,MPLEVL,CITYP,CCTYP,RUNTYP,EXETYP,ICHARG,MULT,COORD,UNITS,ISPHER,MAXIT,NPRINT,ICUT,IREST
SYSTEM,MWORDS,MEMDDI,TIMLIM,,,,,,,,,,,,
BASIS,GBASIS,NGAUSS,EXTFIL,,,,,,,,,,,,
SCF,DIRSCF,DIIS,SOSCF,NOCONV,CONV,COUPLE,F,ALPHA,BETA,RSTRCT,,,,,
CCINP,MAXCC,NCORE,NFZV,ACP(1),NACTO,NACTU,CCPRP,,,,,,,,
